1일 뒤 종가,2일 뒤 종가,3일 뒤 종가,4일 뒤 종가,5일 뒤 종가,거래량,개인,기관,외인수량,외국계,프로그램,공시-변동 차이,변동전,증감,보고구분_변동,보고구분_신규,보고자 구분_개인(국내),보고자 구분_개인(외국),보고자 구분_연기금등 전문투자자,임원_-,임원_등기임원,임원_비등기임원,직위명_ 상무,직위명_-,직위명_대표이사 부회장,직위명_대표이사 사장,직위명_대표이사부회장,직위명_대표이사회장,직위명_부사장,직위명_부회장,직위명_사외이사,직위명_사장,직위명_상무,직위명_상임고문,직위명_전무,직위명_회장,주요주주_-,주요주주_10%이상주주,주요주주_사실상지배주주,변동사유_계열사편입(+),변동사유_기타(+),변동사유_기타(-),변동사유_상속(+),변동사유_시간외매매(-),변동사유_신규등록(+),변동사유_신규보고(+),변동사유_신규선임(+),변동사유_신규주요주주(+),변동사유_임원퇴임(-),변동사유_장내매도(-),변동사유_장내매수(+),변동사유_장외매도(-),변동사유_주식매수선택권(+),변동사유_주식분할,변동사유_증여(-),변동사유_피상속(-),특정증권등의 종류_기타,특정증권등의 종류_보통주,특정증권등의 종류_우선주,상장주식수,년,월,일,요일
1.0,1.0,1.0,1.0,1.0,0.3015187881508347,0.0037022286515276,0.0019898547225978,-0.0992219222457273,-0.0049686399381498,-0.0027124438560999,1,0.0,2.847674912380184e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,9,8,3
0.0,0.0,1.0,0.0,0.0,0.1256844103978293,0.0011225366994313,-0.0004463646670011,-0.0102721496949666,-0.0003497614833558,-0.0001687331140729,21,0.0,0.0001016787454008,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,9,6,1
1.0,1.0,0.0,0.0,0.0,0.151789749862832,0.0007990408293849,-0.0001773598939545,-0.0088433204321654,-0.0007779345329755,-0.0003505822837717,6,1.474090542879154e-05,1.6751028896354025e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,8,17,2
1.0,1.0,0.0,0.0,0.0,0.151789749862832,0.0007990408293849,-0.0001773598939545,-0.0088433204321654,-0.0007779345329755,-0.0003505822837717,7,1.3065802539156136e-05,1.6751028896354025e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5969782550.0,2022,8,17,2
1.0,1.0,0.0,0.0,0.0,0.1684125161309267,0.0015405418745109,-0.0013704351760685,-0.0034460216645579,7.939987696871807e-06,-0.0005758836224277,103,0.0,6.197880691650988e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,8,3,2
0.0,1.0,1.0,1.0,1.0,0.2554240606301481,0.0013015214431889,-0.0002824726002792,-0.0210490246416094,-0.0004024099671771,-0.0008896471446853,99,0.0,4.439022657533816e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,19,1
0.0,1.0,1.0,1.0,1.0,0.2554240606301481,0.0013015214431889,-0.0002824726002792,-0.0210490246416094,-0.0004024099671771,-0.0008896471446853,96,4.439022657533816e-06,4.991806611113498e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,19,1
0.0,0.0,1.0,1.0,1.0,0.1563886275891238,0.0001349965418757,-0.0001917992808632,0.0011085663413318,5.8109319241452096e-05,0.0004697658543693,4,0.0001172572022744,2.5629074211421654e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,12,1
0.0,0.0,1.0,1.0,1.0,0.1563886275891238,0.0001349965418757,-0.0001917992808632,0.0011085663413318,5.8109319241452096e-05,0.0004697658543693,4,6.197880691650989e-06,3.852736646161425e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,12,1
0.0,0.0,1.0,1.0,1.0,0.1563886275891238,0.0001349965418757,-0.0001917992808632,0.0011085663413318,5.8109319241452096e-05,0.0004697658543693,6,0.0001005061733781,1.675102889635402e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,12,1
